review_id,user_id,produk_id,review_date,star_rating,device,review_text
RVW00001,USR0059,PRD002,2025-09-11,5,web,Great content for exam preparation
RVW00002,USR0174,PRD012,2024-12-18,5,android,Need more practice questions
RVW00003,USR0090,PRD004,2024-10-17,4,ios,I recommend this to my friends
RVW00004,USR0020,PRD008,2025-11-18,4,web,Great for UTBK and national exam prep
RVW00005,USR0019,PRD021,2025-03-12,5,ios,Great content for exam preparation
RVW00006,USR0084,PRD020,2025-12-23,4,web,Learning becomes more enjoyable with this platform
RVW00007,USR0121,PRD010,2025-10-19,2,web,Teacher explanations are clear and easy to follow
RVW00008,USR0075,PRD005,2025-07-20,1,android,Subscription price is worth the quality
RVW00009,USR0207,PRD011,2025-12-11,5,android,I recommend this to my friends
RVW00010,USR0201,PRD019,2025-08-18,5,web,Customer service is responsive
RVW00011,USR0009,PRD022,2025-11-07,4,android,Excellent practice question features
RVW00012,USR0245,PRD003,2024-06-29,4,android,Detailed solution explanations
RVW00013,USR0188,PRD014,2024-11-01,5,android,Teacher explanations are clear and easy to follow
RVW00014,USR0156,PRD016,2025-12-06,4,web,Competent and experienced instructors
RVW00015,USR0069,PRD007,2025-06-11,4,ios,Competent and experienced instructors
RVW00016,USR0063,PRD025,2025-06-29,4,web,App can be slow sometimes but content quality is good
RVW00017,USR0178,PRD008,2025-12-26,5,web,Learning becomes more enjoyable with this platform
RVW00018,USR0021,PRD012,2025-06-22,4,web,Challenging and varied practice questions
RVW00019,USR0155,PRD008,2025-08-02,5,ios,Customer service is responsive
RVW00020,USR0212,PRD005,2025-06-09,4,web,Customer service is responsive
RVW00021,USR0171,PRD005,2025-08-17,4,web,Competent and experienced instructors
RVW00022,USR0081,PRD004,2024-09-18,4,android,Perfect for self-study at home
RVW00023,USR0148,PRD016,2025-06-13,5,ios,Interactive and engaging video lessons
RVW00024,USR0225,PRD015,2025-10-15,3,web,Modern and user-friendly interface
RVW00025,USR0196,PRD018,2025-11-12,5,ios,Teacher explanations are clear and easy to follow
RVW00026,USR0214,PRD014,2025-06-07,5,ios,Perfect for self-study at home
RVW00027,USR0132,PRD017,2025-08-14,5,web,Perfect for self-study at home
RVW00028,USR0103,PRD023,2025-12-04,4,web,App can be slow sometimes but content quality is good
RVW00029,USR0087,PRD011,2025-07-24,4,ios,Teacher explanations are clear and easy to follow
RVW00030,USR0019,PRD024,2024-12-29,5,web,Video quality needs improvement
RVW00031,USR0190,PRD014,2024-09-12,5,android,Perfect for self-study at home
RVW00032,USR0188,PRD006,2025-12-03,3,ios,Customer service is responsive
RVW00033,USR0152,PRD012,2025-08-14,4,web,Interactive and engaging video lessons
RVW00034,USR0131,PRD024,2024-11-17,4,ios,Need more practice questions
RVW00035,USR0077,PRD016,2025-03-10,2,android,I recommend this to my friends
RVW00036,USR0149,PRD017,2025-03-26,4,web,Competent and experienced instructors
RVW00037,USR0194,PRD006,2025-10-03,2,android,Subscription price is worth the quality
RVW00038,USR0111,PRD017,2024-02-16,4,android,Competent and experienced instructors
RVW00039,USR0026,PRD012,2025-10-06,3,web,Modern and user-friendly interface
RVW00040,USR0125,PRD015,2025-09-24,5,web,Modern and user-friendly interface
RVW00041,USR0156,PRD025,2025-07-18,5,android,Modern and user-friendly interface
RVW00042,USR0037,PRD004,2023-11-18,4,android,Interactive and engaging video lessons
RVW00043,USR0008,PRD020,2024-04-17,5,android,Detailed solution explanations
RVW00044,USR0205,PRD007,2025-07-25,4,ios,Learning becomes more enjoyable with this platform
RVW00045,USR0053,PRD010,2025-09-29,4,web,I recommend this to my friends
RVW00046,USR0033,PRD015,2025-02-28,5,android,App can be slow sometimes but content quality is good
RVW00047,USR0114,PRD014,2025-08-14,4,ios,Modern and user-friendly interface
RVW00048,USR0188,PRD022,2024-10-27,5,ios,Need more practice questions
RVW00049,USR0187,PRD003,2025-11-27,3,web,Modern and user-friendly interface
RVW00050,USR0117,PRD021,2025-12-31,4,ios,Competent and experienced instructors
RVW00051,USR0229,PRD002,2025-10-09,3,android,I recommend this to my friends
RVW00052,USR0082,PRD007,2025-12-08,4,android,Teacher explanations are clear and easy to follow
RVW00053,USR0243,PRD021,2025-04-21,1,ios,Customer service is responsive
RVW00054,USR0097,PRD008,2025-04-18,3,web,Perfect for self-study at home
RVW00055,USR0125,PRD006,2025-11-28,4,ios,Subscription price is worth the quality
RVW00056,USR0163,PRD003,2024-10-13,5,android,Subscription price is worth the quality
RVW00057,USR0001,PRD014,2023-08-20,4,android,Subscription price is worth the quality
RVW00058,USR0182,PRD006,2025-10-15,4,web,Need student discussion features
RVW00059,USR0098,PRD021,2025-12-20,4,web,Challenging and varied practice questions
RVW00060,USR0136,PRD022,2025-07-27,5,ios,Content follows the latest curriculum
RVW00061,USR0172,PRD016,2025-01-25,5,web,Need student discussion features
RVW00062,USR0092,PRD018,2025-10-24,4,ios,App can be slow sometimes but content quality is good
RVW00063,USR0247,PRD025,2025-09-08,4,web,Competent and experienced instructors
RVW00064,USR0064,PRD022,2024-09-16,3,web,Competent and experienced instructors
RVW00065,USR0170,PRD004,2024-10-22,5,android,Perfect for self-study at home
RVW00066,USR0199,PRD016,2025-12-28,5,android,Great for UTBK and national exam prep
RVW00067,USR0176,PRD008,2024-05-12,4,android,Subscription price is worth the quality
RVW00068,USR0228,PRD014,2023-09-18,4,web,Modern and user-friendly interface
RVW00069,USR0173,PRD011,2025-10-31,4,web,Great for UTBK and national exam prep
RVW00070,USR0103,PRD009,2025-12-27,2,web,Need more practice questions
RVW00071,USR0087,PRD021,2025-11-18,2,web,Great for UTBK and national exam prep
RVW00072,USR0057,PRD019,2024-12-14,4,android,App can be slow sometimes but content quality is good
RVW00073,USR0243,PRD020,2025-04-04,4,android,Detailed solution explanations
RVW00074,USR0006,PRD024,2024-04-15,5,ios,Competent and experienced instructors
RVW00075,USR0234,PRD012,2025-09-02,5,android,Subscription price is worth the quality
RVW00076,USR0093,PRD018,2025-09-21,5,android,Progress tracking feature is very helpful
RVW00077,USR0221,PRD023,2025-01-05,4,ios,Learning becomes more enjoyable with this platform
RVW00078,USR0085,PRD014,2025-07-27,4,ios,Great content for exam preparation
RVW00079,USR0010,PRD001,2025-12-17,3,web,Challenging and varied practice questions
RVW00080,USR0011,PRD006,2025-08-07,4,ios,Need more practice questions
RVW00081,USR0009,PRD009,2025-11-03,5,web,Progress tracking feature is very helpful
RVW00082,USR0034,PRD024,2024-06-30,5,ios,Excellent practice question features
RVW00083,USR0130,PRD024,2025-09-04,5,web,Great content for exam preparation
RVW00084,USR0004,PRD024,2025-09-23,4,ios,App can be slow sometimes but content quality is good
RVW00085,USR0189,PRD019,2025-12-29,4,android,Content follows the latest curriculum
RVW00086,USR0201,PRD011,2025-09-28,4,ios,Content follows the latest curriculum
RVW00087,USR0071,PRD015,2024-12-19,3,android,Customer service is responsive
RVW00088,USR0121,PRD013,2025-07-26,4,ios,Great for UTBK and national exam prep
RVW00089,USR0144,PRD009,2025-10-21,4,android,Detailed solution explanations
RVW00090,USR0130,PRD008,2025-03-23,1,web,Progress tracking feature is very helpful
RVW00091,USR0244,PRD012,2025-12-04,5,web,Need more practice questions
RVW00092,USR0148,PRD001,2024-10-15,5,web,Learning becomes more enjoyable with this platform
RVW00093,USR0123,PRD019,2023-07-13,5,web,Perfect for self-study at home
RVW00094,USR0208,PRD021,2025-12-28,3,ios,Subscription price is worth the quality
RVW00095,USR0222,PRD016,2025-12-28,4,ios,Progress tracking feature is very helpful
RVW00096,USR0158,PRD016,2024-11-17,5,android,Need more practice questions
RVW00097,USR0016,PRD025,2025-01-09,4,web,Competent and experienced instructors
RVW00098,USR0214,PRD005,2025-06-10,4,android,Need student discussion features
RVW00099,USR0105,PRD001,2025-04-21,5,android,Challenging and varied practice questions
RVW00100,USR0140,PRD016,2025-01-24,5,ios,Competent and experienced instructors
RVW00101,USR0119,PRD023,2025-10-23,4,android,Excellent practice question features
RVW00102,USR0236,PRD004,2025-06-18,5,web,Perfect for self-study at home
RVW00103,USR0194,PRD001,2025-10-05,4,ios,Interactive and engaging video lessons
RVW00104,USR0051,PRD015,2023-12-28,2,web,Challenging and varied practice questions
RVW00105,USR0044,PRD021,2025-07-31,4,ios,Detailed solution explanations
RVW00106,USR0108,PRD013,2023-06-24,4,web,Content follows the latest curriculum
RVW00107,USR0185,PRD022,2024-07-11,4,android,Learning becomes more enjoyable with this platform
RVW00108,USR0145,PRD021,2024-10-29,3,android,Subscription price is worth the quality
RVW00109,USR0206,PRD020,2025-11-13,4,android,Modern and user-friendly interface
RVW00110,USR0121,PRD015,2025-07-05,5,android,Perfect for self-study at home
RVW00111,USR0043,PRD017,2025-12-10,1,web,Interactive and engaging video lessons
RVW00112,USR0039,PRD016,2024-04-05,5,ios,Content follows the latest curriculum
RVW00113,USR0180,PRD007,2025-03-25,5,android,Video quality needs improvement
RVW00114,USR0085,PRD004,2025-06-17,4,android,Interactive and engaging video lessons
RVW00115,USR0018,PRD012,2025-12-27,4,ios,Learning becomes more enjoyable with this platform
RVW00116,USR0161,PRD001,2024-10-21,4,web,Customer service is responsive
RVW00117,USR0187,PRD010,2025-12-03,4,web,Modern and user-friendly interface
RVW00118,USR0144,PRD018,2024-03-25,2,ios,App can be slow sometimes but content quality is good
RVW00119,USR0188,PRD007,2025-04-12,3,android,App can be slow sometimes but content quality is good
RVW00120,USR0033,PRD017,2025-12-24,5,web,Competent and experienced instructors
RVW00121,USR0148,PRD025,2025-05-03,4,android,Need student discussion features
RVW00122,USR0172,PRD016,2024-04-13,3,ios,Subscription price is worth the quality
RVW00123,USR0024,PRD020,2023-11-08,3,web,Great content for exam preparation
RVW00124,USR0083,PRD003,2024-03-18,3,web,Great for UTBK and national exam prep
RVW00125,USR0171,PRD016,2024-11-04,4,ios,Need more practice questions
RVW00126,USR0144,PRD013,2025-03-18,5,android,Challenging and varied practice questions
RVW00127,USR0091,PRD010,2025-10-13,4,android,Excellent practice question features
RVW00128,USR0227,PRD020,2025-01-02,5,android,Modern and user-friendly interface
RVW00129,USR0183,PRD005,2025-07-24,4,web,Challenging and varied practice questions
RVW00130,USR0178,PRD009,2025-12-05,4,web,Learning becomes more enjoyable with this platform
RVW00131,USR0046,PRD001,2025-11-08,5,android,Learning becomes more enjoyable with this platform
RVW00132,USR0187,PRD014,2025-11-13,4,ios,Progress tracking feature is very helpful
RVW00133,USR0096,PRD006,2025-12-02,5,ios,Video quality needs improvement
RVW00134,USR0093,PRD017,2025-09-20,1,web,Competent and experienced instructors
RVW00135,USR0025,PRD012,2025-12-28,4,ios,Need student discussion features
RVW00136,USR0070,PRD002,2025-12-13,4,web,Progress tracking feature is very helpful
RVW00137,USR0012,PRD023,2025-10-01,4,android,Teacher explanations are clear and easy to follow
RVW00138,USR0249,PRD019,2025-04-10,5,web,Need student discussion features
RVW00139,USR0162,PRD015,2025-10-28,3,android,Detailed solution explanations
RVW00140,USR0207,PRD004,2025-04-13,4,android,Perfect for self-study at home
RVW00141,USR0181,PRD024,2024-01-31,5,ios,Excellent practice question features
RVW00142,USR0108,PRD004,2023-08-11,4,android,Teacher explanations are clear and easy to follow
RVW00143,USR0081,PRD004,2025-04-07,5,ios,Need student discussion features
RVW00144,USR0189,PRD001,2025-10-31,5,web,Interactive and engaging video lessons
RVW00145,USR0232,PRD019,2025-07-25,4,android,Progress tracking feature is very helpful
RVW00146,USR0107,PRD022,2025-07-16,2,ios,I recommend this to my friends
RVW00147,USR0038,PRD024,2025-08-18,3,web,Teacher explanations are clear and easy to follow
RVW00148,USR0071,PRD020,2024-12-15,5,web,Interactive and engaging video lessons
RVW00149,USR0163,PRD024,2025-09-12,5,ios,Content follows the latest curriculum
RVW00150,USR0071,PRD018,2025-05-20,3,web,Customer service is responsive
RVW00151,USR0215,PRD023,2024-04-01,4,web,Excellent practice question features
RVW00152,USR0030,PRD003,2023-11-14,5,ios,Competent and experienced instructors
RVW00153,USR0152,PRD021,2023-03-11,5,ios,Subscription price is worth the quality
RVW00154,USR0164,PRD012,2025-06-22,3,android,Need more practice questions
RVW00155,USR0079,PRD022,2025-02-05,5,android,Perfect for self-study at home
RVW00156,USR0080,PRD002,2025-05-22,5,ios,Modern and user-friendly interface
RVW00157,USR0036,PRD019,2025-08-20,4,ios,Modern and user-friendly interface
RVW00158,USR0227,PRD007,2024-11-25,5,web,Video quality needs improvement
RVW00159,USR0068,PRD003,2025-03-17,4,web,Learning becomes more enjoyable with this platform
RVW00160,USR0198,PRD021,2025-12-04,4,android,Interactive and engaging video lessons
RVW00161,USR0010,PRD019,2025-07-25,3,android,Subscription price is worth the quality
RVW00162,USR0180,PRD014,2025-06-08,5,android,Content follows the latest curriculum
RVW00163,USR0054,PRD011,2025-11-24,4,android,Modern and user-friendly interface
RVW00164,USR0024,PRD017,2025-08-10,3,ios,Video quality needs improvement
RVW00165,USR0067,PRD002,2025-06-23,4,android,Interactive and engaging video lessons
RVW00166,USR0122,PRD005,2024-08-07,4,web,Customer service is responsive
RVW00167,USR0097,PRD022,2025-01-21,5,web,App can be slow sometimes but content quality is good
RVW00168,USR0162,PRD012,2025-06-27,3,web,Competent and experienced instructors
RVW00169,USR0087,PRD021,2025-12-31,3,web,Content follows the latest curriculum
RVW00170,USR0042,PRD015,2024-02-16,5,web,Need student discussion features
RVW00171,USR0117,PRD019,2025-12-31,5,android,Progress tracking feature is very helpful
RVW00172,USR0122,PRD008,2023-12-31,5,android,Competent and experienced instructors
RVW00173,USR0124,PRD022,2025-05-12,4,ios,I recommend this to my friends
RVW00174,USR0028,PRD014,2025-05-06,5,android,Progress tracking feature is very helpful
RVW00175,USR0152,PRD001,2023-12-30,4,web,Need student discussion features
RVW00176,USR0248,PRD023,2025-10-17,3,android,Perfect for self-study at home
RVW00177,USR0034,PRD022,2024-09-03,5,ios,Excellent practice question features
RVW00178,USR0080,PRD025,2025-01-20,5,web,Progress tracking feature is very helpful
RVW00179,USR0043,PRD015,2025-04-12,5,ios,Interactive and engaging video lessons
RVW00180,USR0078,PRD010,2024-04-22,3,ios,Great for UTBK and national exam prep
RVW00181,USR0024,PRD024,2024-02-16,3,android,Learning becomes more enjoyable with this platform
RVW00182,USR0002,PRD016,2025-08-26,4,web,Detailed solution explanations
RVW00183,USR0176,PRD013,2024-11-16,5,android,Progress tracking feature is very helpful
RVW00184,USR0213,PRD015,2025-10-22,4,ios,Progress tracking feature is very helpful
RVW00185,USR0033,PRD011,2024-09-15,4,web,Content follows the latest curriculum
RVW00186,USR0210,PRD022,2025-08-19,5,android,Progress tracking feature is very helpful
RVW00187,USR0137,PRD003,2025-05-07,4,android,Customer service is responsive
RVW00188,USR0007,PRD008,2024-03-05,5,web,Learning becomes more enjoyable with this platform
RVW00189,USR0088,PRD017,2025-10-23,1,android,Progress tracking feature is very helpful
RVW00190,USR0235,PRD003,2025-07-19,3,ios,Teacher explanations are clear and easy to follow
RVW00191,USR0055,PRD010,2025-05-19,3,web,Interactive and engaging video lessons
RVW00192,USR0109,PRD005,2024-08-26,4,android,Challenging and varied practice questions
RVW00193,USR0009,PRD009,2025-12-11,3,web,I recommend this to my friends
RVW00194,USR0214,PRD004,2025-09-28,5,web,App can be slow sometimes but content quality is good
RVW00195,USR0168,PRD013,2025-07-21,3,ios,Customer service is responsive
RVW00196,USR0130,PRD013,2025-08-26,4,web,Progress tracking feature is very helpful
RVW00197,USR0109,PRD025,2024-01-03,4,web,App can be slow sometimes but content quality is good
RVW00198,USR0155,PRD015,2025-11-19,4,web,Competent and experienced instructors
RVW00199,USR0217,PRD018,2024-10-28,3,ios,Great for UTBK and national exam prep
